2022. 02. 06. 15:55:02
Nev;Kod;Ertek
EAE-dirham;AED;4,205432
afgán afghani;AFN;108,770233
albán lek;ALL;122,17024
örmény dram;AMD;551,440508
holland antilláki forint;ANG;2,064068
angolai kwanza;AOA;597,986703
argentin peso;ARS;120,627546
ausztrál dollár;AUD;1,619717
arubai florin;AWG;2,061474
azerbajdzsáni manat;AZN;1,950953
bosznia-hercegovinai konvertibilis márka;BAM;1,95145
barbadosi dollár;BBD;2,31241
bangladesi taka;BDT;98,39098
bolgár új leva;BGN;1,958351
bahreini dinár;BHD;0,431561
burundi frank;BIF;2308,209897
bermudai dollár;BMD;1,144945
brunei dollár;BND;1,539828
bolíviai boliviano;BOB;7,885203
brazil real;BRL;6,100846
bahamai dollár;BSD;1,14534
bhutáni ngultrum;BTN;85,562618
botswanai pula;BWP;13,232602
fehérorosz rubel;BYN;2,950778
fehérorosz rubel (2000–2016);BYR;22440,929554
belize-i dollár;BZD;2,308559
kanadai dollár;CAD;1,460624
kongói frank;CDF;2307,065366
svájci frank;CHF;1,059077
Chilei unidades de fomento;CLF;0,034378
chilei peso;CLP;948,591731
kínai jüan;CNY;7,283044
kolumbiai peso;COP;4530,022215
Costa Rica-i colon;CRC;736,962463
kubai konvertibilis peso;CUC;1,144945
kubai peso;CUP;30,341053
Cape Verde-i escudo;CVE;111,522142
cseh korona;CZK;24,376288
dzsibuti frank;DJF;203,480145
dán korona;DKK;7,444481
dominikai peso;DOP;66,006552
algériai dínár;DZD;160,980321
egyiptomi font;EGP;18,012141
eritreai nakfa;ERN;17,174203
etiópiai birr;ETB;57,366202
euró;EUR;1
fidzsi dollár;FJD;2,449084
falkland-szigeteki font;FKP;0,833429
brit font;GBP;0,84574
grúz lari;GEL;3,412385
ghánai cedi;GHS;7,339547
gibraltári font;GIP;0,833428
gambiai dalasi;GMD;60,710775
guineai frank;GNF;10384,655052
guatemalai quetzal;GTQ;8,807234
guyanai dollár;GYD;239,502482
hongkongi dollár;HKD;8,917035
hodurasi lempira;HNL;28,177551
horvát kuna;HRK;7,527792
haiti gourde;HTG;116,317946
magyar forint;HUF;354,956412
indonéz rúpia;IDR;16488,015011
izraeli új sékel;ILS;3,673447
indiai rúpia;INR;85,461529
iraki dínár;IQD;1671,620263
iráni rial;IRR;48448,364386
izlandi korona;ISK;143,008048
jamaicai dollár;JMD;179,362455
jordániai dínár;JOD;0,811812
japán jen;JPY;131,926377
kenyai shilling;KES;130,123484
kirgizisztáni szom;KGS;97,095721
kambodzsai riel;KHR;4654,203393
comorei frank;KMF;492,498697
észak-koreai won;KPW;1030,451027
dél-koreai won;KRW;1372,09154
kuvaiti dínár;KWD;0,346122
kajmán-szigeteki dollár;KYD;0,954458
kazahsztáni tenge;KZT;494,708362
laoszi kip;LAK;12987,115906
libanoni font;LBP;1735,257949
Srí Lanka-i rúpia;LKR;231,838981
libériai dollár;LRD;175,348823
Lesothoi loti;LSL;17,666944
litvániai litas;LTL;3,380727
lett lats;LVL;0,692566
líbiai dínár;LYD;5,261069
marokkói dirham;MAD;10,652004
moldován lei;MDL;20,500491
madagaszkári ariary;MGA;4591,231393
macedon dínár;MKD;61,493065
mianmari kyat;MMK;2036,307391
mongóliai tugrik;MNT;3273,205549
makaói pataca;MOP;9,185998
mauritániai ouguiya;MRO;408,745306
mauritiusi rúpia;MUR;49,851356
maldív-szigeteki rufiyaa;MVR;17,689839
malawi kwacha;MWK;927,406157
mexikói peso;MXN;23,678506
malajziai ringgit;MYR;4,785304
mozambiki metikális;MZN;73,082296
namíbiai dollár;NAD;17,666939
nigériai naira;NGN;476,530536
nicaraguai córdoba;NIO;40,588745
norvég korona;NOK;10,072715
nepáli rúpia;NPR;136,898756
új-zélandi dollár;NZD;1,722018
ománi rial;OMR;0,440689
panamai balboa;PAB;1,14534
perui sol;PEN;4,402892
pápua új-guineai kina;PGK;4,024527
fülöp-szigeteki peso;PHP;58,622204
pakisztáni rúpia;PKR;199,850646
lengyel zloty;PLN;4,56536
paraguayi guarani;PYG;8056,618435
katari rial;QAR;4,16879
román lej;RON;4,947353
szerb dínár;RSD;117,559392
orosz rubel;RUB;86,720572
ruandai frank;RWF;1164,409457
szaúdi riyal;SAR;4,295726
salamon-szigeteki dollár;SBD;9,274606
seychelle-szigeteki rúpia;SCR;15,209275
szudáni font;SDG;504,921304
svéd korona;SEK;10,476713
szingapúri dollár;SGD;1,540799
Szent Ilona-i font;SHP;1,577052
Sierra Leone-i leone;SLL;13081,001416
szomáli shilling;SOS;669,793438
suriname-i dollár;SRD;23,692398
São Tomé és Príncipe-i dobra;STD;23698,057842
Salvadori colón;SVC;10,021596
szíriai font;SYP;2876,102551
szváziföldi lilangeni;SZL;17,666931
thai baht;THB;37,753473
tádzsikisztáni somoni;TJS;12,930406
türkmenisztáni manat;TMT;4,018758
tunéziai dínár;TND;3,277411
tongai paanga;TOP;2,596679
török líra;TRY;15,535425
Trinidad és Tobago-i dollár;TTD;7,769563
tajvani új dollár;TWD;31,846699
tanzániai shilling;TZS;2648,259061
ukrán hrivnya;UAH;32,193248
ugandai shilling;UGX;4014,295851
USA-dollár;USD;1,144945
uruguay-i peso;UYU;50,243238
üzbegisztáni szum;UZS;12422,657814
venezuelai bolivar;VEF;244823926321,979
vietnami dong;VND;25933,012979
vanuatui vatu;VUV;130,147561
nyugat-szamoai tala;WST;2,99099
CFA frank BEAC;XAF;654,354119
kelet-karibi dollár;XCD;3,094273
CFA frank BCEAO;XOF;655,485357
csendes-óceáni valutaközösségi frank;XPF;119,704457
jemeni rial;YER;286,522999
dél-afrikai rand;ZAR;17,701165
Zambiai kwacha (1968–2012);ZMK;10305,886517
zambiai kwacha;ZMW;21,027858
Zimbabwei dollár (2009);ZWL;368,671947
