2022. 02. 07. 15:45:02
Nev;Kod;Ertek
EAE-dirham;AED;4,201423
afgán afghani;AFN;108,721825
albán lek;ALL;121,282818
örmény dram;AMD;550,482489
holland antilláki forint;ANG;2,061088
angolai kwanza;AOA;597,407808
argentin peso;ARS;120,891547
ausztrál dollár;AUD;1,607902
arubai florin;AWG;2,059193
azerbajdzsáni manat;AZN;1,94669
bosznia-hercegovinai konvertibilis márka;BAM;1,954586
barbadosi dollár;BBD;2,30903
bangladesi taka;BDT;98,322929
bolgár új leva;BGN;1,957447
bahreini dinár;BHD;0,431131
burundi frank;BIF;2304,831731
bermudai dollár;BMD;1,143837
brunei dollár;BND;1,537994
bolíviai boliviano;BOB;7,873545
brazil real;BRL;6,060396
bahamai dollár;BSD;1,143622
bhutáni ngultrum;BTN;85,367574
botswanai pula;BWP;13,274852
fehérorosz rubel;BYN;2,929636
fehérorosz rubel (2000–2016);BYR;22419,206913
belize-i dollár;BZD;2,305233
kanadai dollár;CAD;1,451912
kongói frank;CDF;2304,832134
svájci frank;CHF;1,055424
Chilei unidades de fomento;CLF;0,03431
chilei peso;CLP;946,948777
kínai jüan;CNY;7,276866
kolumbiai peso;COP;4541,136182
Costa Rica-i colon;CRC;736,529094
kubai konvertibilis peso;CUC;1,143837
kubai peso;CUP;30,311683
Cape Verde-i escudo;CVE;110,609139
cseh korona;CZK;24,20707
dzsibuti frank;DJF;204,088338
dán korona;DKK;7,446604
dominikai peso;DOP;65,942595
algériai dínár;DZD;160,874816
egyiptomi font;EGP;17,963272
eritreai nakfa;ERN;17,157579
etiópiai birr;ETB;57,304364
euró;EUR;1
fidzsi dollár;FJD;2,446632
falkland-szigeteki font;FKP;0,832622
brit font;GBP;0,845976
grúz lari;GEL;3,408336
ghánai cedi;GHS;7,331692
gibraltári font;GIP;0,832621
gambiai dalasi;GMD;60,651956
guineai frank;GNF;10374,60261
guatemalai quetzal;GTQ;8,801899
guyanai dollár;GYD;239,267277
hongkongi dollár;HKD;8,913179
hodurasi lempira;HNL;28,149649
horvát kuna;HRK;7,524044
haiti gourde;HTG;118,048876
magyar forint;HUF;353,731845
indonéz rúpia;IDR;16471,31125
izraeli új sékel;ILS;3,650591
indiai rúpia;INR;85,399453
iraki dínár;IQD;1670,002148
iráni rial;IRR;48401,466122
izlandi korona;ISK;143,024851
jamaicai dollár;JMD;179,005085
jordániai dínár;JOD;0,810971
japán jen;JPY;131,576741
kenyai shilling;KES;129,997076
kirgizisztáni szom;KGS;96,996469
kambodzsai riel;KHR;4649,697652
comorei frank;KMF;492,021976
észak-koreai won;KPW;1029,453558
dél-koreai won;KRW;1370,282604
kuvaiti dínár;KWD;0,345414
kajmán-szigeteki dollár;KYD;0,953093
kazahsztáni tenge;KZT;492,274575
laoszi kip;LAK;12974,54386
libanoni font;LBP;1730,625185
Srí Lanka-i rúpia;LKR;232,012352
libériai dollár;LRD;175,178592
Lesothoi loti;LSL;17,649315
litvániai litas;LTL;3,377453
lett lats;LVL;0,691895
líbiai dínár;LYD;5,255973
marokkói dirham;MAD;10,641683
moldován lei;MDL;20,470873
madagaszkári ariary;MGA;4586,786973
macedon dínár;MKD;61,590267
mianmari kyat;MMK;2033,324984
mongóliai tugrik;MNT;3270,037112
