2022. 02. 07. 15:45:02
Nev;Kod;Ertek
makaói pataca;MOP;9,177259
mauritániai ouguiya;MRO;408,349643
mauritiusi rúpia;MUR;50,157551
maldív-szigeteki rufiyaa;MVR;17,672051
malawi kwacha;MWK;926,507947
mexikói peso;MXN;23,593768
malajziai ringgit;MYR;4,780666
mozambiki metikális;MZN;73,011333
namíbiai dollár;NAD;17,649248
nigériai naira;NGN;475,265355
nicaraguai córdoba;NIO;40,549463
norvég korona;NOK;10,049353
nepáli rúpia;NPR;136,585692
új-zélandi dollár;NZD;1,726119
ománi rial;OMR;0,440334
panamai balboa;PAB;1,143622
perui sol;PEN;4,398629
pápua új-guineai kina;PGK;4,020634
fülöp-szigeteki peso;PHP;58,89851
pakisztáni rúpia;PKR;199,656457
lengyel zloty;PLN;4,536732
paraguayi guarani;PYG;7997,610498
katari rial;QAR;4,164763
román lej;RON;4,946519
szerb dínár;RSD;117,619927
orosz rubel;RUB;86,581573
ruandai frank;RWF;1163,282318
szaúdi riyal;SAR;4,291454
salamon-szigeteki dollár;SBD;9,265628
seychelle-szigeteki rúpia;SCR;16,599037
szudáni font;SDG;504,431973
svéd korona;SEK;10,447076
szingapúri dollár;SGD;1,537597
Szent Ilona-i font;SHP;1,575522
Sierra Leone-i leone;SLL;13068,338476
szomáli shilling;SOS;669,144826
suriname-i dollár;SRD;23,610517
São Tomé és Príncipe-i dobra;STD;23675,118311
Salvadori colón;SVC;10,007631
szíriai font;SYP;2873,318507
szváziföldi lilangeni;SZL;17,70396
thai baht;THB;37,705414
tádzsikisztáni somoni;TJS;12,917123
türkmenisztáni manat;TMT;4,014868
tunéziai dínár;TND;3,274237
tongai paanga;TOP;2,594166
török líra;TRY;15,533158
Trinidad és Tobago-i dollár;TTD;7,716352
tajvani új dollár;TWD;31,860209
tanzániai shilling;TZS;2644,551575
ukrán hrivnya;UAH;32,001435
ugandai shilling;UGX;4008,314155
USA-dollár;USD;1,143837
uruguay-i peso;UYU;50,079131
üzbegisztáni szum;UZS;12410,632328
venezuelai bolivar;VEF;244586938715,903
vietnami dong;VND;25926,783341
vanuatui vatu;VUV;130,021579
nyugat-szamoai tala;WST;2,988095
CFA frank BEAC;XAF;655,511193
kelet-karibi dollár;XCD;3,091277
CFA frank BCEAO;XOF;654,830674
csendes-óceáni valutaközösségi frank;XPF;119,588257
jemeni rial;YER;286,245326
dél-afrikai rand;ZAR;17,743543
Zambiai kwacha (1968–2012);ZMK;10295,927287
zambiai kwacha;ZMW;21,054102
Zimbabwei dollár (2009);ZWL;368,315075
